"topics","perplexity"
2,22999.5923871532
3,19034.7955844579
4,16599.9537739969
5,14810.768224482
6,13505.9037401664
7,12487.5114757705
8,11637.2243556857
9,10872.9861398844
10,10287.7229206832
11,9777.16671631952
12,9301.94950506928
